id,tweet,emoji
36,Jinan IG story Juneya wake up lets go to the fansign,['red_heart']
37,dude in the middle ,['male_sign']
38,LOOL HIS VOICE AT THE END DEAD,"['face_with_tears_of_joy', 'skull']"
39,START You gotta laugh Seth just wants to play with his big sister so bad,['face_with_tears_of_joy']
40,Hi my friend where are you are you okay,['thumbs_up']
41,Girls like it when you 1 Spoil them 2 Call them beautiful 3 Show you care not just say it 4 Give them a hoodie that smells like you,"['heart_suit', 'heart_suit']"
42,Russ just handed in his 2nd career game with 20 pts and 20 ast,['fire']
43,So we gon act like the last girl aint just weaved a jutsu sign,['face_with_tears_of_joy']
44,My room in the new house has a walk in closet and Im in love,['smiling_face_with_hearteyes']
45,Someone could be needing our services and that person could be on your timeline Kindly Retweet,['folded_hands']
46,BOOM just retweeted iHearts tweet about GAME OVER ITS OVER FOR WHOEVER IS AGAINST US,['face_with_tears_of_joy']
47,Road to 3M tweets Anything is possible when ARMYS from all over the world work together  TAE TAE,"['flexed_biceps', 'flexed_biceps']"
48,This is too funny,['face_with_tears_of_joy']
49,Take a picture Take a picture Take a picture Shes so cute,['loudly_crying_face']
50,I keep myself busy with things to do but everytime I pause I still think of you,['face_blowing_a_kiss']
51,Ive have yet to finish watering my plants,['skull']
52,Im so in love with you and I hope you know,['smiling_face']
53,START YASSS Its time for a great show STARBADGE GRIND,['raising_hands']
54,Im now safe and sound Thank you all for the messages,['red_heart']
55,Lenard really try to make people dislike Nicki Lenard doesnt like that Nicki is her own boss and have power over her mu,['face_with_rolling_eyes']
56,17 years ago Randy Johnson threw his most memorable fastball,['face_with_tears_of_joy']
57,Ive fallen asleep twice in work think Im ready for bed,['face_with_tears_of_joy']
58,START Sexy amp Creampie Surprise w https,['fire']
59,Follow everyone who Likes and Retweets this,['two_hearts']
60,Yawning is our body 20 battery left warning ,['face_with_tears_of_joy']
61,No one knows its frustrating,['crying_face']
62,Shhurupp yo death stinkin ugly mouth I arrest you because youre devil ,['face_with_tears_of_joy']
63,I just hope this video is as funny to you as it is to me,['face_with_tears_of_joy']
64,FUNERAL GANG BUT I FW HOMICIDE THO,['speaking_head']
65,START me and ,"['sparkles', 'sparkles', 'red_heart']"
66,START Judicial Watch Warns The Deep State That McCabes Firing Is JUST THE BEGINNING,['police_car_light']
67,Hop off his dick already sis HE DONT WANT YOUUU,['face_with_tears_of_joy']
68,End of the 3rd from 25 for 41 37,['OK_hand']
69,Running into February like,['blue_heart']
70,WANT 150FOLLOWERS FAST FOLLOW Retweet Her AND GAIN MORE FOLLWERS,"['thinking_face', 'hundred_points']"
71,Can you predict the future Can you see storms coming can you make peace Can you fight war   Sabali https,"['red_heart', 'red_heart']"
72,Thank you Tita sa birthday wishes,['blue_heart']
73,Hell be gambling the parents divorce money before hes 7,['face_with_tears_of_joy']
74,yooo this kid is coming for throats,['face_with_tears_of_joy']
75,START If you truly love someone youll put,['face_blowing_a_kiss']
76,Who is in lions heart,['winking_face']
77,Shes a keeper bruv,['thumbs_up']
78,Some of this neighbourhoods,['face_with_tears_of_joy']
79,AND Does he wear dentures or lack of,['flushed_face']
80,Cant believe the gay community turns 10 GOD BLESS,['clapping_hands']
81,Day 1 of the 2018 season done P4 in both sessions Conditions havent been great no risks taken just keep working,['white_heavy_check_mark']
82,Thank you for visiting ,"['heart_suit', 'thinking_face']"
83,Making poutine with my daughter YouTube just posted dont forget to like and sub  https,['female_sign']
84,wendchymes 50 s Your tweet has been liked by 50 people,['red_heart']
85,I be overpacking like a mf I bring just in case fits,['face_with_tears_of_joy']
86,Someone take out to eat rn,['loudly_crying_face']
87,lmaooo that really struck me,['face_with_tears_of_joy']
88,Trending in India at 4th Position Now,['smiling_face_with_sunglasses']
89,Thank you tyll Mishyu sad sorry,['face_with_tears_of_joy']
90,Los Teros llevan 1 3 test matches ganados de forma consecutiva ,['flexed_biceps']
91,My dad had other ideas,['face_with_tears_of_joy']
92,Its officially been 3 years since Call Me Baby came out,['party_popper']
93,Thank you for calling no operators available please call back later,['flushed_face']
94,kim kardashian released a new app thats like shazam but for clothes App Store,['smiling_face_with_hearteyes']
95,Heracross CounterMegahorn IV 84 CP 2553 L 32 until 100716am,['male_sign']
96,yoongi is so damn fine im annoyed,['crying_face']
97,START YASSS Its time for a great show Marilyn Monroe,['raising_hands']
98,I Do Not Hold Grudges It Is What It Is ,"['person_shrugging', 'female_sign']"
99,I just seen some of theee nastiest shit on snap from Mexico bitches are wild man,['face_with_tears_of_joy']
100,When you do your own wigs not tryna be cocky but I does this sht so HMU so yall can be poppin 65 wigs just provide,['smiling_face_with_hearteyes']
101,Diego Costas La Liga return 62 mins Yellow card 68 mins Goal 68 mins Second yellow red card Hes definitely back,['face_with_tears_of_joy']
102,87 days left until the Oslo Norway Cant wait to see you ,"['red_heart', 'red_heart']"
103,START Baron Banner of Command Cannon Minion Your Base Check out Siege Minion insane bannerd up autoattack mec,"['white_heavy_check_mark', 'white_heavy_check_mark', 'white_heavy_check_mark']"
104,Happy birthday to my big bro Been one of the few I can really call family Wish you many blessin,['double_exclamation_mark']
105,Going to the today,['smiling_face_with_smiling_eyes']
106,I have been ready for so long,['smiling_face_with_hearteyes']
107,I think everyone has had atleast one bad experience with a pony I swearrr,['face_with_tears_of_joy']
108,So my bearded dragon saw himself in the mirror and,['face_with_tears_of_joy']
109,SEHUN I love the medals,['red_heart']
110,START watch part 2 of this video   htt,"['fire', 'fire', 'fire', 'fire']"
111,Why dont you feature a song with Alan Walker it be awesome,['smiling_face_with_sunglasses']
112,My mom got a reason as to why every other tribe other than yoruba is bad to marry she funny,['face_with_tears_of_joy']
113,I keep saying ima get a tattoo but never do ,"['face_with_tears_of_joy', 'male_sign']"
114,This is so adorable ,"['red_heart', 'smiling_face_with_hearteyes']"
115,We are not crying You are CRYING,['weary_face']
116,HaileyLolaPaytonKeili Lexi amp Olivia volunteered as instructors for the Upward Cheer Camp on 16 Thanks to Mrs Fah,['thumbs_up']
117,Everyting in life just takes timeee,['speaking_head']
118,Am i attracted to needy niccas,['thinking_face']
119,This part was hilarious,['face_with_tears_of_joy']
120,Hey you Yes you,['heart_suit']
121,the last week of break has been treating me so good,['loudly_crying_face']
122,I HAD TO DISTURB THE PEACE Please dont be offended by this video tuu RETWEET,"['face_with_tears_of_joy', 'face_with_tears_of_joy']"
123,has Blankachan in her bag Ok Capcom Its pretty cute Im not gonna lie,['face_with_tears_of_joy']
124,You bitches be ugly just popular so everybody dick ride,['loudly_crying_face']
125,i wanna just go back to sleep but i cant,['weary_face']
126,Never hear me complaining bout what I aint got Cause if I want it imma go get it,"['hundred_points', 'flexed_biceps']"
127,My Monday struggle,['backhand_index_pointing_down']
128,Please to the nearest Emergency Entrance,['police_car_light']
129,START Ladies night out Fellas stay woke,['loudly_crying_face']
130,A girl cartwheeled into my DMs amp said You look like the type of man Id let take me for a meal The fxcking audacit,['weary_face']
131,When you have the best producer in the world,['face_with_tears_of_joy']
132,Love how twitter have tweets that relate to you or your situation at the perfect time,['face_with_tears_of_joy']
133,Please tell me u dnt like it,['face_with_tears_of_joy']
134,ONLY 2 DAYS LEFT until we drop that x debut Enjoy this special preview TODAY,['backhand_index_pointing_right']
135,Need a Banner or Step amp Repeat Fast Visit Call 9089647 77 SAME DAY Print RT,['collision']
136,Another acceptance letter,['folded_hands']
137,Belated Birthday wishes bro,['face_blowing_a_kiss']
138,Win AWP Asiimov in 24hr Go RTampLike,['trophy']
139,If you now make a song called Happy Slap I want credit,['face_with_tears_of_joy']
140,Why I just dodge it,['loudly_crying_face']
141,My brother taking his girlfriend her vday gift I cant,['weary_face']
142,START To the moon and back,['red_heart']
143,The whole falling asleep on the phone thing dont work for me because the moment I hear you snore Im hanging up ,"['person_shrugging', 'female_sign']"
144,Morning x Only just got up Heard the rain hitting the windows and thought Id have an extra half hour,['winking_face']
145,Sneak Peak Oakland Soldiers 2018 Team Intro from opening weekend courtesy NCSTV Aaron Murphy Modesto Christian C,['fire']
146,Vs online supposedly has bigger sizes Ive never bought a vs bra,['face_with_tears_of_joy']
147,warming up before jhopes mixtape release like,['fire']
148,Yeah I absolutely need this because this eyeshadow game is long for me,['loudly_crying_face']
149,Grace will be 15 on January 15 2019,['party_popper']
150,Retweet this Like this Follow all that Like amp Retweet Follow back all that Follow you Follow meamp,['backhand_index_pointing_down']
151,Dunno if i should pity you or laugh,['rolling_on_the_floor_laughing']
152,GASSED TO ANNOUNCE THAT WILL BE RETURNING TO JUST JAM AT THE BARBICAN DONT SLEEP ON THIS,['collision']
153,When you think that Namjoon wanted to hug Yoongi but he did the I Need U dance instead  NAMJOON DAY,"['person_facepalming', 'female_sign']"
154,White ppl call it a blanketquilt  Black ppl call it a Cuvvah ,"['male_sign', 'face_with_tears_of_joy']"
155,START I love TheChepo Trendy SALE ENTIRE STORE IS 000 AND YOU JUST PAY SHIPPING UNLIMITED ITEMS at checkout htt,['flushed_face']
156,Thinking of getting a lil truck as my daily driver,['thinking_face']
157,againWHY NOT HERE ,['yellow_heart']
158,ArsenalFC after they defeated Crystal Palace today,['face_with_tears_of_joy']
159,yall please zoom into the face of the only black person in the crowd,['skull']
160,Anyone can make these easy and DELICIOUS meals,['flexed_biceps']
161,that Vanity Fair Oscars look though Stunning That dress,['smiling_face_with_hearteyes']
162,Lol ion fw nobody lemme stop,['face_with_tears_of_joy']
163,Thats The First Thing I Thought Of When I Seen Crap Instead Of Crab,['face_with_tears_of_joy']
164,No but look at how beautiful Amara La Negra is ,['loudly_crying_face']
165,MY THOUGHTS OF MY FUTURE PRAYING,['folded_hands']
166,I hate a its up to you ass nigga Like boy if you dont plan something with yo unromantic ass,['rolling_on_the_floor_laughing']
167,Thank you to all the amazing fans who greeted me and Norman back in,['trophy']
168,HAHAHAHAHAHA THE LIST GOT LONGER BUT MY HEART STILL BEATS FOR JAEBAE,['face_with_tears_of_joy']
169,I guess youre just gonna have to come visit ,"['person_shrugging', 'female_sign']"
170,best cereal commercial ive ever seen this one was a gamechanger rs,['loudly_crying_face']
171,1 Like this 2 Follow all that Like amp Retweet 3 Follow back all that follow you 4 Gain with,"['glowing_star', 'glowing_star', 'glowing_star', 'fire']"
172,Yes maam Snatch that crown then Queen ,"['face_with_tears_of_joy', 'female_sign']"
173,Love PC still amazed its free,['smiling_face_with_smiling_eyes']
174,THINGS HAPPEN FOR NO REASON THEY HAPPEN TO TEACH YOU SOMETHING,['OK_hand']
175,I need my baby,['weary_face']
176,Throwback Thursday Travis Scott going off on security in autotune This will always be funny,['loudly_crying_face']
177,A girl cartwheeled into my DMs amp said You look like the type of man Id let take me for a meal The fxcking audacit,['weary_face']
178,Yeah wearing communist flags on a military jacket is really going to change the minds of the average American on guns,['face_with_rolling_eyes']
179,Copy successful traders automatically with Bitcoin I copy KaizenTrader Do you,['right_arrow']
180,srry cant help it im a fan,['loudly_crying_face']
181,Thats my striker Lukaku,['clapping_hands']
182,Aww jungwoo why so cute,['loudly_crying_face']
183,Were so proud of on behalf of all our dogs and cats,['blue_heart']
184,Who Can Fo Me A Bob Right Now,['face_with_rolling_eyes']
185,If you could star in a musical which would you choose and what part would you play,['two_hearts']
186,Aww Anytime I hear know what I want I always think of you bc youd always have her playing,['crying_face']
187,When they go low we go high just reached a whole new level To,['raising_hands']
188,ITS GAIN TIME 1 Retweet and Like this FAST 2 Follow All Likes and Retweets 3 Make Sure To Follow All,['hundred_points']
189,StylishStar at Airport On the way to,['smiling_face_with_hearteyes']
190,Its hard to accept that this would be the last time to dance on WOD stage despite of it I THANK YOU LORD AND C,['loudly_crying_face']
191,We hit tht hoe,['face_with_tears_of_joy']
192,In liberal la la land tragic mass shootings in the United States only started after Jan 20 2017,['backhand_index_pointing_down']
193,My dog was prescribed doggles this week for his eye condition Does he remind you of anyone,['face_with_tears_of_joy']
194,Im Alex Gaskarth and I approve this message,['thumbs_up']
195,I n S t o c k R e a d y T o P o s t Baby Blue one size fits all age 2adults,['blue_heart']
196,Going to college was the best move I ever made,['double_exclamation_mark']
197,Shoot ya shot before I get cuffed and be ignoring all you mfs,['face_with_tears_of_joy']
198,SIGNAL BOOST RT RT RT,['fire']
199,I rather stay amp cuddle w my boo than go to a baile but I dont have one so IMMA GO TO THE BAILE ,"['face_with_tears_of_joy', 'female_sign']"
200,U are wicked Thats the day the entire channel will blowUp Apocalypse in the making,['face_with_tears_of_joy']
201,A mf wont text u all day then come outta nowhere like wyd losing feelings bitch,['loudly_crying_face']
202,NOW ITS TIME FOR THE READERS CHOICE Just pick one and pick wisely,['winking_face']
203,But I dont want to use my upgrade,['face_with_tears_of_joy']
204,stop trynna act all cool because you got Starbucks ,['loudly_crying_face']
205,Interview  I think the whole world knows about We spoke to winger this wee,['speaking_head']
206,I passed my 1st MBA Management class exam with a 9333 and only 11 more to go ,['clapping_hands']
207,My nigga was done for today at the gym,['face_with_tears_of_joy']
208,so deep in my feelings this aint really like me,['weary_face']
209,So much love here in aus You guys are the best,['heart_suit']
210,START 100 free sex cams site Register now 100 Free,"['fire', 'collision']"
211,A Box Of Roses That Last A Year From must be following me amp to win,['sparkles']
212,I love them so much,['loudly_crying_face']
213,How do I logout of my problems This semester should end,['loudly_crying_face']
214,So proud to have you represent this nation You are always in our prayers  ,"['red_heart', 'red_heart', 'red_heart']"
215,on the blog February TBR,['two_hearts']
216,My week on Twitter 9 Mentions 345M Mention Reach 303K Likes 134K Retweets 4 Replies See yours with,['party_popper']
217,We are waiting for your announcement,['folded_hands']
218,rt to win cute lil bundle must be following me and,['blue_heart']
219,Follow everyone who likes this,['face_blowing_a_kiss']
220,180117 Jimins Tweet Wow Even if its watched again and again its pretty Trans cr Soren btstrans,['red_heart']
221,Can you see it,['face_blowing_a_kiss']
222,10 This damn sweater,['loudly_crying_face']
223,Queens of serving LOOKS I cant ,['two_hearts']
224,Cant forget this iconic look,['weary_face']
225,How does 360 lace front wig body wave look like Here is a video for how to make a bunhope you will learn more,['smiling_face_with_hearteyes']
226,If your girl is having a bad day then surpriseso are you,['face_with_tears_of_joy']
227,yx citizen producers whose performance do you guys want to see the most justin justin qin fen ZHANG YIXING,['face_with_tears_of_joy']
228,Nothing says easter like some curry goat with rice and peas,['smiling_face_with_hearteyes']
229,Yeah I use it to rant share stuff too,['face_with_tears_of_joy']
230,My brother taking his girlfriend her vday gift I cant,['weary_face']
231,Get a girl who prays for you,['folded_hands']
232,Credit to for calling attention to this artist Truly we have the best supportive fan army,['purple_heart']
233,Milf Fucks so good,['smiling_face_with_hearteyes']
234,NEW Betfred customers get 60 in Free Bets amp Casino Bonuses when joining and betting 10 here,['backhand_index_pointing_right']
235,Why do I love the Spurs so much this beating is painful but THATS STILL MY TEAM THOUGH,['weary_face']
236,Fansign  for real whenever I see your face its so good looking that my heart beats ah hearts always beat ,"['person_shrugging', 'female_sign', 'person_shrugging', 'female_sign']"
237,Be willing to walk alone Many that you started with wont finish with you,['speaking_head']
238,I know COMEDY KING IS BACK,['smiling_face_with_hearteyes']
239,So are you because you use it,['face_blowing_a_kiss']
240,Hes not admitting that Hes merely agreeing that the media should view him as not as bad Big difference,['thinking_face']
241,Seung ho dont do this to me wosbwusvwisbs,['two_hearts']
242,Beautiful smile and congratulations,['clapping_hands']
243,RT to win STILA Heavens Hue Highlighter must be following me to enter,['sparkles']
244,You believe that they will ever reported anything positive about you I believe Einstein said one,['thinking_face']
245,Dont pull up at 6 AM to cuddle with me,['face_with_rolling_eyes']
246,ROSES ARE RED I freakin LOVE GUAC SHOW SOME APPRECIATION FOR,['sparkles']
247,This I just love Peace and quiet in beautiful surroundings Wishing you all a wonderful new day,"['smiling_face_with_smiling_eyes', 'two_hearts']"
248,P Diddy nailed it with like every son 3 different shades of fine,['face_with_tears_of_joy']
249,Why do Lebron and Harden have to be on different teams,['loudly_crying_face']
250,IPE 3 Trainee Zhang Xin picked Yixings Shake for group showcase YX why did u pick this song ZX bc I like the feel of th,['rolling_on_the_floor_laughing']
251,LMAO QUAVO WASNT HAVING IT,['face_with_tears_of_joy']
252,Tf he say to the dog,['face_with_tears_of_joy']
253,Every Time My Mom Use My Car She Always Talking About It Smell Like Weed ,"['face_with_tears_of_joy', 'male_sign']"
254,START My letter to a spouse who is no longer,['folded_hands']
255,My hero Academia SEASON 3 TRAILER,['fire']
256,Whos ready for todays Vlog we got to see our baby today,"['heart_suit', 'loudly_crying_face']"
257,DEM BEING CUTE AND HYPER TOGETHER HUHU,['red_heart']
258,IM HOLLERING Been there,['weary_face']
259,no school tomorrow ,"['face_with_tears_of_joy', 'male_sign']"
260,You better put that head up before you get it knocked off Lavar Ball almost forgot that the TV cameras were around,['face_with_tears_of_joy']
261,Nah bro something aint right about this I touch the controller my girl rolling her eyes already,['face_with_tears_of_joy']
262,Smile God loves you,['two_hearts']
263,choosing your nail colour is one of the toughest decisions   ,"['person_shrugging', 'female_sign', 'person_shrugging', 'female_sign']"
264,I love this baby to the moon and back,['loudly_crying_face']
265,babe ordered me a heart pizza how cute,"['smiling_face', 'two_hearts']"
266,New character posters for meet the gang March 9th,['backhand_index_pointing_right']
267,you always doing us a favor  yes maammm,"['raising_hands', 'raising_hands']"
268,still one of the cutest videos ever,['red_heart']
269,Please help man needs his boat,['folded_hands']
270,START WHOA A longtime attorney reportedly expressed concerns about the NRAs ties w possible involvemen,"['fire', 'fire']"
271,The Wave is featured on this awesome playlist TY UPlay Indie av spotifymusicchanne,['smiling_face_with_sunglasses']
272,Uncle Dino is drinking a blueberry shake that his tongue turned violet afterwards,['face_with_tears_of_joy']
273,Todays gonna b a grt day 10AM Ill b visiting Ananthpur 2 watch Jaisimha wid 102 Brahmin families 800ppl Alsos,['smiling_face_with_hearteyes']
274,Damn RIP Queen Latifah,['crying_face']
275,Calling teachers by their first name,['face_with_tears_of_joy']
276,Jorginho amp his friend go live right after Diawara scores his gamewinning goalheres how they reacted,['backhand_index_pointing_down']
277,AMAZON BTS LOVE YOURSELFTear is still at no1 on AMAZON CDs amp Vinyl category for the 3rd days,['party_popper']
278,Cant just wait anymore Power star,"['smiling_face_with_hearteyes', 'smiling_face_with_hearteyes']"
279,START brought energy pure popstar magic AND to The 2018 stage We cant stop watching the performance t,['fire']
280,Except when you spend 800,['face_with_tears_of_joy']
281,haha oohhh yeah kisses my accomplice friend,['face_blowing_a_kiss']
282,You go straight to Armagh messing up rather than stating your county not being relegated,['face_with_tears_of_joy']
283,Lmfao me with my future lil shits,['face_with_tears_of_joy']
284,Im not refucking with nobodyYou got me refucked up,['rolling_on_the_floor_laughing']
285,sunflowers and roses are the key to my heart,['yellow_heart']
286,1 Retweet this 2 Like this 3 Follow all who like and rt this 4 Follow back all that follow you 5 Gain followe,"['fire', 'fire', 'fire', 'fire']"
287,My favorite part of this entire conversation is the way too much but ok response,['face_with_tears_of_joy']
288,Its 311 amp bitch Im wide df awake,['loudly_crying_face']
289,What is this gif,['face_with_tears_of_joy']
290,FANCON Picnic the members are rehearsing accidentally hear it then record it The staff is in fr,['winking_face']
291,Hahah the trafffic light dance and then we have Taehyung being Taehyung Commercial Smart School uniform CCTV versi,['beaming_face_with_smiling_eyes']
292,HAPPY BIRTHDAY TO THE MULTI TALENTED RAPPER SINGER ACTOR AND VISUAL KING JUNG JAEWON You deserve all the love in th,['blue_heart']
293,let me see what you have a knife NOOO,['face_with_tears_of_joy']
294,oh hes a fast swimmer  zoethefrenchie,['male_sign']
295,coming out here brings sm memories rip francene,['purple_heart']
296,This ones for all my chaiwalas For those that ever had to make chai for your mom or dad Also Why she gotta bring up m,['face_with_tears_of_joy']
297,Youre welcome my brother To God be the glory,['folded_hands']
298,To the best cast and crewfrom the bottom of my heartTHANK YOU,['red_heart']
299,Imagine being on a romantic date with a Que Dawg Everything is going well then BOOM the Cheaters van rolls up with 20,['collision']
300,Hey how about a lil for a DIV taking down the big dogs Cornerstone Christian Acad,['red_heart']
301,lookin 4ward to listening to the unreleased projects L E G N D U R Y,['fire']
302,AK47 Redline Giveaway Retweet amp Follow Tag 2 Friends Winner drawn in 24 hours,"['party_popper', 'heavy_check_mark', 'trophy']"
303,8P addyPower PaddyP Offer 20 RiskFREE Bet Place a 20 sportsbook bet if your bet is a loser They will refund,"['fire', 'fire']"
304,your fan base is so loving and so kind to everyone Proud to be apart of the family,['face_blowing_a_kiss']
305,This is why I dont grow my hair,['flushed_face']
306,my sister finally drank after 9 months of being pregnant and this is what happens I am crying,['loudly_crying_face']
307,RT if youre proud to be in this fandom I you,['purple_heart']
308,When you got yourself a rider,['red_heart']
309,nah bc the disease will just kill everyone but wont come back as zombies,['face_with_tears_of_joy']
310,a Letter for her likert,['folded_hands']
311,Without imperfection you or I would not exist RIP Stephen Hawking one of the greatest minds of human existence,['red_heart']
312,Its not personal but sometimes I dont feel like texting people back amp idk why I just DONT,['face_with_tears_of_joy']
313,I actually start blushing Elias look so cute while smilingOh amp Bayley voice,['smiling_face_with_hearteyes']
314,is coming back to LA July 14 Mi Corazon let me know if youre down to ride,"['loudly_crying_face', 'smiling_face_with_hearteyes', 'loudly_crying_face']"
315,Jaden Smith at the Louis Vuitton Fashion Show,['red_heart']
316,This Chemistry     For SRKKAJOL Lovers Love u amp,"['red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'smiling_face_with_hearteyes']"
317,Happy birthday Bakugo Keep on blazing BTW loving the new ultimate moves in Vol 12,['fire']
318,Eagles locker room status,['fire']
319,new years sale use code NEWYEAR for 30 off all orders,['weary_face']
320,this girl was suziled,['loudly_crying_face']
321, love your photo you are doing a good job love you so much kisses We all support you,"['red_heart', 'thumbs_up']"
322,We got our first face piece Keep tweeting for the rest of the puzzle,['raising_hands']
323,1 YMC 2 Eider 3 Yohi 4 Sport Seoul 5 Sugarman So whats next Im really thankful for Weekly Idol VLT ISAC,['eyes']
324,1 Follow everyone who RT or LIKES this 2  Follow,"['right_arrow', 'folded_hands']"
325,Apple juice will always be better than orange juice  dont argue with me,"['person_shrugging', 'female_sign']"
326,Tough choice Ive chosen a novel because there are more details emotion explanations maybe even a n,['thinking_face']
327,Know the radio play experts,['backhand_index_pointing_down']
328,Should be ASSane ,"['face_with_tears_of_joy', 'male_sign']"
329,Liverpool v city best draw for fans gonna get 2 proper games of footy cant wait,['thumbs_up']
330,good morning WORLD and ALL who inhabit it,['sparkles']
331,yall remember when Snoop Dogg killed this music video,['fire']
332,You Shine Like the stars You Light up my heart  Have a safe flight,"['sparkles', 'blue_heart', 'face_blowing_a_kiss']"
333,Quand ta une pote skinny,['face_with_rolling_eyes']
334,Somebody said name something every broke nigga got and a mf said the audacity ,['loudly_crying_face']
335,yey just saw the followed back huhu,['smiling_face_with_smiling_eyes']
336,I miss buckwild so much that used to be my favorite show everrr,['loudly_crying_face']
337,Friends With Benefits Dope,['smiling_face_with_hearteyes']
338,a treat for yall,['skull']
339,Lovely evening to you all By Caters New Agency,['red_heart']
340,My week on Twitter 1 Tweet See yours with,['party_popper']
341,After he tops youyou top him better,['hundred_points']
342,pinpoint the exact moment realized food arrived,['thinking_face']
343,START YASSS Its time for a great show fathijamaal,['raising_hands']
344,are you the mastermind behind WAXcoin,['face_with_tears_of_joy']
345,This is why we commit suicide,['smiling_face_with_smiling_eyes']
346,Herh sarknation get energy pass Bless yall for the love is,"['fire', 'collision']"
347,Ah they are not streaming today aye mi temi ba mi,['loudly_crying_face']
348,music bank 180105 sunwoo on top,['sparkles']
349,if u dont fwm dont ask for a favor,['hundred_points']
350,let me see what you have a knife NOOO,['face_with_tears_of_joy']
351,Why did the boy stand behind the horse He thought he might get a kick out of it,['smiling_face']
352,Dont let negative and ToXic People rent Space in YouR HEAD RaiSe The Rent and KICk Them Out,['yellow_heart']
353,OKAY THIS IS TOO CUTE IT MADE MY DAY,['smiling_face_with_hearteyes']
354,When hes soft amp youre childish,['skull']
355,My baby fine doe,['smiling_face_with_hearteyes']
356,More Free Porn Videos,['right_arrow']
357,Im lost my head is spinning I cant fucken breath,['loudly_crying_face']
358,HOOAH Ooops I meant Ooorah,['thumbs_up']
359,a fact i dont really ship myself with namjoon even though hes my bias his hands are already full with hoseok and jimin,['face_with_tears_of_joy']
360,Let commence Penicuik Town Hall,['OK_hand']
361,The next one will be for the trophy,['trophy']
362,Blessed to see 20,['sparkles']
363,So it WAS two years ago I figured it was during a time where I was going through a,['face_with_tears_of_joy']
364,Veronica and Emiliano are snoring and Im over here crying watching coco,['face_with_tears_of_joy']
365,START watch imma twerk on the field fuckkk everyone,['face_with_tears_of_joy']
366,21 Savage on NBC News WOW didnt expect that ,"['clapping_hands', 'clapping_hands']"
367,Dem Pussy Farts Be So Sexy I Be Ready To Fart Back A Toot Toot To U To Bitch,"['face_with_tears_of_joy', 'skull']"
368,Omg arent you just an angel Ilysm ,"['red_heart', 'blue_heart']"
369,This is my new favourite video over internet now,['face_with_tears_of_joy']
370,Without V in bts I might never knew who bts is You are very handsome in your own way I U Taehyung ah,['purple_heart']
371,I know that feeling all too well or its whatchu talking bout you tripping ,['face_with_rolling_eyes']
372,the way he said fuckin loser has me tearing up,['face_with_tears_of_joy']
373,STILL THERE Daisy a sweet beautiful 3yo girl needs to feel loved amp safe she has been waiting,['crying_face']
374,I miss the old Kanye real shit,['face_with_tears_of_joy']
